GeneID,Gene_Numeration,RHC3555__Bcell___7DEA7B,RHC3557__Bcell___7DEA7B,RHC3562__Bcell___7DEA7B,RHC3594__Bcell___7DEA7B,RHC3596__Bcell___7DEA7B,RHC3600__Bcell___7DEA7B,RHC3602__Bcell___7DEA7B,RHC3633__Bcell___7DEA7B,RHC4079__Fibroblast___FB4E09,RHL2786__Bcell___7DEA7B
7105,7105_5,0,7.1692,0,0,0,0,0,0,0,0
64102,64102_5,0,0,0,0,0,0,0,0,0,0
8813,8813_5,0,0,0,11.2985,10.8614,0,0,0,0,0
57147,57147_5,136.968,5.67254,0,0,0,0,0,0,0,20.7457
55732,55732_5,0,0,0,0,0,0,0,0,0,0
2268,2268_5,0,0,0,0,0,0,0,0,0,0
3075,3075_5,0,0,0,0,0,0.139812,0,0,1.24726,0
2519,2519_5,516.721,0,96.0642,170.039,0.133757,1.04913,0,3.14704,10.4074,85.0872
2729,2729_5,0,0,0,0,0,0,0,0,0.0202002,0
4800,4800_5,0,0,0,0,0,0,0,0,0,20.0149
90529,90529_5,0,0,0,0,0,0,0,0,0,0
57185,57185_5,0,0,0,0,0.0588726,0,0,0,47.0341,0
81887,81887_5,0,0,0,0,0,0,0,0,0,2.69635
22875,22875_5,0,0,0,0,0.286325,0,0,0,0,0
6405,6405_5,0,0,0,0,0,0,0,0,0,0
1080,1080_5,0,0.793303,0,0,0,0,0,0,0,0
54467,54467_5,0,0,39.4175,0.0852233,0,0,0,67.3581,0,0
1595,1595_5,0,3.69965,1.42994,10.6324,0,0,0.702294,0,0,0
889,889_5,0,0,0,0.2534,133.357,0,0,8.2537,0.0407649,4.36962
5893,5893_5,0,1.68304,0,0,0,0,0,0,0,0
572,572_5,295.221,0,0,0,0,0,0,0,0,0
51056,51056_5,0,0,2.46983,63.989,305.569,4.67286,5.22049,0,0,0
4267,4267_5,7.08774,0,0,0,3.21489,0,0,0,7.8966,0
9957,9957_5,0,0,0,0,0,0,0,0,0,0
26,26_5,0,6.85914,0,0,7.55159,0,0,0,0,0
51384,51384_5,0,0,0,0,0,0,0,0,0,0
23072,23072_5,0,0,0,0,0,0,0,0,0,0
8379,8379_5,0,42.6831,0,0,0,0,0,0,0,0
3927,3927_5,0,18.4256,0,0.510994,0,0,0.285729,0,0,1.68869
29916,29916_5,0,0,0,0,0,0,0,0,0,0
55365,55365_5,0,924.986,0,0,0,0,1.6241,0,0,0
4074,4074_5,0,8.57109,0,0,101.822,0,0,0,39.3529,12.383
90293,90293_5,0,0,0,0,0,0.0955645,0,0,0,0
56603,56603_5,0,0,0,0,0,0,0,0,0,0
3382,3382_5,0,2.52217,0,4.88125,0,0,0,0,0,0
79007,79007_5,0,0,0,0,0,0,0,0,0,0
57679,57679_5,0,0,0,1.47718,0,0,0,0,0,0
843,843_5,0,293.905,0,297.125,3.05643,3.05201,0,0,0,12.0029
8837,8837_5,6.28728,152.832,48.3589,26.2676,9.55087,17.714,0.129243,133.68,0.097842,1233.63
7035,7035_5,0,0,0,0,0,0,0,0,456.977,0
55471,55471_5,0,0,0,0,0,0,0,0,0,0
10181,10181_5,37.4996,276.044,0,56.5394,63.2338,0,9.34808,0,11.9771,0
9108,9108_5,0,0,0,0,0,0,0,0,0,0
6542,6542_5,0,0,0,0,0,0,0,0,0,0
381,381_5,0,0,0,0,258.399,0,0,0,0,0
23098,23098_5,0,0,0,0,0,0,0,0,0,0
26073,26073_5,0,3.88778,0,0,5.48297,0,0,0,0,0
23129,23129_5,0,0,0,0,0,0,0,0,0,0
204,204_5,0,4.41565,28.7791,0,0,0,0,0,4.28335,0
952,952_5,76.1333,2.5002,0,532.858,0,44.5676,0.0872771,57.1417,0,11.1846
2288,2288_5,14.7028,693.036,12.3079,0,0.595069,0,0,0,0,0
23028,23028_5,0,19.3412,0.236739,508.325,0,0,0,0,0,108.427
10180,10180_5,21.0842,244.591,138.294,184.775,2.13826,1.05294,16.5441,1525.17,200.479,182.187
84254,84254_5,0,6.81133,0,0,0,0,0,0,0,0
5965,5965_5,0,0,0,0,0,0,4.39919,0,1.10251,2.34361
55610,55610_5,0,2.46393,0,5.03058,0,0,0.119521,0,0,0
126393,126393_5,0,0,0,0,0,0,0,0,0,0
115703,115703_5,0,0,0,0,0,0,0,0,0,0
4706,4706_5,0,0,0,42.2635,19.157,0,0,59.6112,169.795,33.4691
5166,5166_5,0,0,0,0,0,0,0,0,0,0
85413,85413_5,0,0,0,0,0,0,0,0,0,0
51364,51364_5,0,0,0,0,0,0,1.39341,0,0,0
340273,340273_5,0,0,0,0,0,31.1937,0,0,0,0
170302,170302_5,0,0,0,0,0,0,0,0,0,0
10165,10165_5,0,17.0051,0,0,0,0,36.8568,0,0,0
996,996_5,0,63.9462,0,0,0.0646035,1.7458,4.28857,67.7967,0.65797,0
6521,6521_5,0,0,0,0,0,0,0,0,0,0
799,799_5,0,0,0,0,0,0,0,0,0,0
