GeneID,Gene_Numeration,RHC3546__Tcell___C6E879,RHC4045__MastCell___E596C5,RHC4053__Tcell___C6E879,RHC4747__Tcell___C6E879,RHC4771__Tcell___C6E879,RHC4776__Tcell___C6E879,RHC4804__Tcell___C6E879,RHL2752__Tcell___C6E879,RHC5620__Tcell___C6E879,RHC5646__Tcell___C6E879,RHC5699__Tcell___C6E879,RHC5702__Tcell___C6E879,RHC5827__Tcell___C6E879,RHC5910__Tcell___C6E879,RHC5982__Tcell___C6E879,RHC5995__Tcell___C6E879,RHC6004__Tcell___C6E879
7105,7105_4,1.31466,0,0,0,0,0,0,8.32075,0,0.492747,0,0,0,0,0,0,0
64102,64102_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8813,8813_4,0,0,340.271,0,0,0,0,141.254,0,0,0,0,0,0,0,0,0
57147,57147_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55732,55732_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.704
2268,2268_4,0,0,0,0,42.3255,0,306.996,0,0,0,0,0,0,0,0,0,0
3075,3075_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2519,2519_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2729,2729_4,0,0,4.59029,0,0,0,0,0,0,0,0.278243,0.48089,0,0,0,0,0
4800,4800_4,0,0,8.36925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90529,90529_4,0,0,0,0,0,0,0,0,0,0,0,0,0.634435,0,0,0,0
57185,57185_4,0,0,0,0,0,0,0,0,0,0.185179,7.61309,0,0,0,0,0,0
81887,81887_4,7.95832,0,0,0,731.859,0,0,0,379.069,0,0,0,0,0,0,0,0.489774
22875,22875_4,0,0,0,0,0,0,0,36.8006,0,0,5.0109,0,0,0,0,0,0
6405,6405_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,1080_4,2.30374,0,0,0,0,0,0,0,0,0,0,12.9388,0,0.698524,0,0,0
54467,54467_4,0,0,0,0,0,0,1.11737,0,0,0,0,0,3385.1,0,0,376.152,23.6198
1595,1595_4,0,0,0,0,198.57,0,85.9695,0,0,12.0802,0,0,0.522148,0,0,0,0
889,889_4,0,0,0,0,23.808,0,0,0,0,93.0221,0,0,0,0,968.624,0,0
5893,5893_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.547
572,572_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51056,51056_4,0,0,0.289302,25.4752,13.0363,0,0,0,0,0,0,365.987,0,0,32.8675,0,945.122
4267,4267_4,97.1622,0,293.745,721.553,0,125.591,612.501,52.0201,0,10.5736,0.524079,515.761,0,2.91505,965.166,0,0
9957,9957_4,0,0,0,0,0,0,0,0,0,0,0,0,1.33824,0,0,0,0
26,26_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51384,51384_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23072,23072_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8379,8379_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3927,3927_4,0,0,0,2.69845,1762.45,0,0,17.1127,22.7355,0,1.20954,0,0,0,0,0,0
29916,29916_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55365,55365_4,20.0541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4074,4074_4,0,0,103.311,757.779,950.353,0,0,80.5218,0,205.506,0,0,0.244733,0,502.68,0,0
90293,90293_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56603,56603_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3382,3382_4,3.19817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79007,79007_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57679,57679_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,843_4,5.23378,0,0,0,0,0,0,0,0,0,0,0,0.127799,0,0,42.6304,0
8837,8837_4,14.1275,0.466537,0.641408,4.20795,612.89,0.427413,25.9977,29.327,478.101,7.16834,0.401048,0,58.1375,2.67475,24.4184,1.22519,144.544
7035,7035_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55471,55471_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10181,10181_4,306.621,0,0,7.87981,0,0,0,0,0,0,0,0,0,1.95458,0,0,7.42279
9108,9108_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6542,6542_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,381_4,0,0,0,297.232,0,0,1159.82,0,6.08386,0,0,0,0,0,3.83338,55.3357,0
23098,23098_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26073,26073_4,0,0,244.916,29.0923,0,0,0,0,0,0,0,0,0,0,0,0,0
23129,23129_4,0,0,0,0,0,0,0,0,0,0,0,0,6.521,0,0,0,0
204,204_4,0,0,0,79.8307,0,0,0,0,38.2772,0,847.445,0,0,0,0,0,0
952,952_4,143.508,0,0,108.412,0,0,564.689,0,0,0,0,0,0,0,0,0,47.046
2288,2288_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23028,23028_4,0,0,6.1882,0,0,0,0,1.96302,0,0,0,0,0.174725,0,0,0,0
10180,10180_4,19.3803,366.94,0,0,47.5411,25.7669,2.00252,590.966,0,13.0919,1230.51,710.655,1377.01,0,0,0,45.3961
84254,84254_4,0,0,0,0,0,0,0,0,0,0,0,0,0.828751,0,20.7819,0,0
5965,5965_4,0,3.10646,0,6.32529,2689.99,0,0,106.744,1682.75,36.2048,0,0,0,0,0,0,33.3494
55610,55610_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126393,126393_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115703,115703_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4706,4706_4,373.958,0,0,0,595.1,0,0,0,57.7425,0,0,0,0,0,0,0,0
5166,5166_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85413,85413_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51364,51364_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340273,340273_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170302,170302_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10165,10165_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,996_4,419.422,0,0,0,0,0,51.9162,0,0,0,138.535,0,0,0,46.4756,0,8.61536
6521,6521_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,799_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3052,3052_4,0,0,0,0,0,0,0,0,6.47335,0,0,0,0,0,0,0,0
1856,1856_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64063,64063_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,5976_4,0,0,0,0,0,0,2.30789,0,0.696134,0,0,0,0,0,0,0,0
8935,8935_4,0,0,0,0.344565,0,0,0,0,0,0,0,0,7.24011,0.233546,0,0,0
292,292_4,967.937,267.811,0,2681.45,0,0,0,44.2083,0,555.04,1806.76,955.471,15.0691,1.53549,0,1631.35,185.919
55013,55013_4,0,0,0,0,0,0,0,0,0,268.218,0,0.481394,0,0,0,0,0
3207,3207_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5439,5439_4,78.6598,0,103.879,13.8159,0,0,0,72.157,418.416,0,942.732,0,0,0,0,0,0
