EnsemblGeneID,GeneID,Gene_symbol,RHC4240__Epithelial__2749FE,RHC4273__Epithelial__2749FE,RHL2799__Bcell__7DEA7B,RHL2806__Epithelial__2749FE,RHL2809__Epithelial__2749FE,RHL2821__Epithelial__2749FE,RHL2834__Epithelial__2749FE,RHL2844__Epithelial__2749FE,RHL2850__Epithelial__2749FE,RHL2856__Epithelial__2749FE,RHC5859__Epithelial__2749FE,RHC5866__Epithelial__2749FE,RHC5870__Epithelial__2749FE,RHC5876__Epithelial__2749FE,RHC5885__Epithelial__2749FE,RHC5887__Epithelial__2749FE,RHC5891__Epithelial__2749FE,RHC5901__Epithelial__2749FE,RHC5904__Epithelial__2749FE,RHC5909__Epithelial__2749FE,RHC5915__Epithelial__2749FE,RHC5920__Epithelial__2749FE,RHC5923__Epithelial__2749FE,RHC5931__Epithelial__2749FE,RHC5935__Epithelial__2749FE,RHC5936__Epithelial__2749FE,RHC5938__Epithelial__2749FE,RHC5941__Epithelial__2749FE,RHC6058__Epithelial__2749FE,RHC6074__Epithelial__2749FE,RHC6092__Epithelial__2749FE,RHC6094__Epithelial__2749FE,RHC6103__Epithelial__2749FE,RHC6106__Epithelial__2749FE,RHC6113__Epithelial__2749FE
ENSG00000000003,7105,TSPAN6,0,0,0,142.932,0,0,10.2294,4.30312,93.7572,0,2.25413,212.861,0,0,15.2225,14.2373,0.168222,0,0,0.148809,85.585,0,32.891,0,0,0,0,0,0,37.4529,0,0,0,0,0
ENSG00000000005,64102,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,8813,DPM1,273.282,0,0,451.12,0,0,0,0,74.7252,0,0,2.9095,437.316,0,0,0,11.6489,16.3859,0,0,4.26685,0,0,148.855,0,4.77977,1188.93,319.216,0,0,0,15.3873,0,0,0
ENSG00000000457,57147,SCYL3,0,0,0.702946,0,0,0,0,0,0,2.58004,17.203,18.116,1.30976,0.438883,0.33281,0,0,0,0,0,0.515736,0,0.0913373,0,0,0,1.12228,0,0,0,2146.8,7.83117,0,0,0
ENSG00000000460,55732,C1orf112,0,0,0,0,0,0,0,0,0,0,0,0,24.8791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84021,0,0,191.213,0,0
ENSG00000000938,2268,FGR,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000971,3075,CFH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63777,0,0,0,0,0,0,0,0
ENSG00000001036,2519,FUCA2,0,8.37566,0,0,0,0,0,0,0,9.59736,0,0,0,0,0,14.1368,0,5.74682,0,0,0,0,0,41.7034,0.305434,8.15441,0,0,2.05567,0,23.203,0.820431,0,0,0
ENSG00000001084,2729,GCLC,0,0,0,0,0,0,0,0,0,0,3.89826,0,0,0,0,0,0,0,0,0,0.0803306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001167,4800,NFYA,0,5.77724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001460,90529,STPG1,0,0,0,0,0,88.3707,0,0,0,0,570.01,0,0,0,0,0,10.295,0,0,0,1.31848,0,0,0,0,6.33736,0,0,33.3706,26.6926,43.4603,0,0,0,0
ENSG00000001461,57185,NIPAL3,0,0,0,0,0,7.99978,3.84035,0,0,0,514.055,0,0,0,0.166401,0,0,0,0,0.575146,2.50231,0,0,0,0,0,1.86026,0,0,7.8795,0,0,0,0,0
ENSG00000001497,81887,LAS1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001561,22875,ENPP4,0,0,0,0,0,24.7137,6.08342,0,0,8.58379,0,0,118.152,0,0,0,0.139951,0.103151,0,0.244119,0,0,0,0,0,33.6432,0,0,0.752633,0.438864,0,0,0,0,0
ENSG00000001617,6405,SEMA3F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14576,0,0,0,0,0,0,0,3.79066,0,0,0,0,0,0,0
ENSG00000001626,1080,CFTR,73.5833,0,0.753597,0,0,0,0,0,0,0,0,0,0,0,1.06516,393.995,6.34122,3081.02,0,0,0,0,0,1.06469,0,0,19.62,0.26173,0,0,0,0,0,0,0
ENSG00000001629,54467,ANKIB1,60.2906,0,0,21.7782,0,0,0,0,0,2.63914,0,0,0,0,0,0.773141,39.2508,0,1.17709,0,0,40.0917,0,0,0,0,0,0,0,2.80058,0,0,0,0,0
