Gene_Numeration,RHC3579__Epithelial___2749FE,RHC3591__Epithelial___2749FE,RHC3597__Epithelial___2749FE,RHC3599__Epithelial___2749FE,RHC3621__Epithelial___2749FE,RHC3629__Epithelial___2749FE,RHC3641__Epithelial___2749FE,RHC3836__Epithelial___2749FE,RHC3839__Epithelial___2749FE,RHC3840__Epithelial___2749FE,RHC3848__Epithelial___2749FE,RHC3849__Epithelial___2749FE,RHC3855__Epithelial___2749FE,RHC3863__Epithelial___2749FE,RHC3868__Epithelial___2749FE,RHC3870__Epithelial___2749FE,RHC3871__Epithelial___2749FE,RHC3874__Epithelial___2749FE,RHC3879__Epithelial___2749FE,RHC3881__Epithelial___2749FE,RHC3884__Epithelial___2749FE,RHC3897__Epithelial___2749FE,RHC3898__Epithelial___2749FE,RHC3902__Epithelial___2749FE,RHC3915__Epithelial___2749FE,RHC3922__Epithelial___2749FE,RHC3923__Epithelial___2749FE,RHC3901__Epithelial___2749FE,RHC3903__Epithelial___2749FE,RHC3905__Epithelial___2749FE,RHC3914__Epithelial___2749FE,RHC3947__Epithelial___2749FE,RHC4021__Epithelial___2749FE,RHC4123__Epithelial___2749FE,RHC4124__Epithelial___2749FE,RHC4131__Epithelial___2749FE,RHC4050__Epithelial___2749FE,RHC4065__Epithelial___2749FE,RHC4073__Epithelial___2749FE,RHC4859__Epithelial___2749FE,RHC4877__Epithelial___2749FE,RHC4878__Epithelial___2749FE,RHC4890__Epithelial___2749FE,RHC4902__Epithelial___2749FE,RHC4915__Epithelial___2749FE,RHC4922__Epithelial___2749FE,RHC4926__Epithelial___2749FE,RHC4931__Epithelial___2749FE,RHC4938__Epithelial___2749FE,RHC4944__Epithelial___2749FE,RHC4945__Epithelial___2749FE,RHC4947__Epithelial___2749FE,RHL2672__Epithelial___2749FE,RHL2716__Epithelial___2749FE,RHL2717__Epithelial___2749FE,RHL2723__Epithelial___2749FE,RHL2724__Epithelial___2749FE,RHL2733__Epithelial___2749FE,RHL2747__Epithelial___2749FE,RHL2758__Epithelial___2749FE,RHL2759__Epithelial___2749FE,RHL2760__NA__grey,RHL2765__Epithelial___2749FE,RHL2766__Epithelial___2749FE,RHL2769__Epithelial___2749FE,RHL2770__Epithelial___2749FE,RHL2779__Epithelial___2749FE,RHL2780__Epithelial___2749FE,RHL2781__Epithelial___2749FE,RHL2791__Epithelial___2749FE,RHC5544__Epithelial___2749FE,RHC5546__Epithelial___2749FE,RHC5549__Epithelial___2749FE,RHC5550__Epithelial___2749FE,RHC5552__Epithelial___2749FE,RHC5553__Epithelial___2749FE,RHC5554__Epithelial___2749FE,RHC5555__Epithelial___2749FE,RHC5557__Epithelial___2749FE,RHC5558__Epithelial___2749FE,RHC5566__Epithelial___2749FE,RHC5567__Epithelial___2749FE,RHC5569__Epithelial___2749FE,RHC5574__Epithelial___2749FE,RHC5575__Epithelial___2749FE,RHC5577__Epithelial___2749FE,RHC5582__Epithelial___2749FE,RHC5586__Epithelial___2749FE,RHC5592__Epithelial___2749FE,RHC5597__Epithelial___2749FE,RHC5598__Epithelial___2749FE,RHC5599__Epithelial___2749FE,RHC5610__Epithelial___2749FE,RHC5611__Epithelial___2749FE,RHC5624__Epithelial___2749FE,RHC5627__Epithelial___2749FE,RHC5629__Epithelial___2749FE,RHC5632__Epithelial___2749FE,RHC5637__Epithelial___2749FE,RHC5643__Epithelial___2749FE,RHC5647__Epithelial___2749FE,RHC5707__Epithelial___2749FE,RHC5768__Epithelial___2749FE,RHC5790__Epithelial___2749FE,RHC5815__Epithelial___2749FE,RHC5896__Epithelial___2749FE
6649_2,2.19904,7.17124,0,0,13.9927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56606_2,0,0,0.897821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95182,0,0,5.28004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7468_2,0,9.80483,0,0,56.7875,0,0,0.285334,230.624,11.6224,0,5.01601,0,0,26.4031,669.746,33.133,0,0,258.837,0,4.62059,0,610.677,0,0.892912,3.64382,0,0,0,2.61042,40.95,0,0,13.2536,0,0,224.643,0,1.14653,0,10.1359,97.5593,7.99454,0,23.1668,0,0,32.3815,0,3.46335,0,0,15.7215,0,0,39.2712,13.0459,0,0,74.5941,2.57182,0,3.89556,0.591732,0,0,0,27.6315,2.33862,0,7.80386,0,6.55769,4.63215,0,106.202,0,0,54.2863,18.9295,0.273778,126.247,0,0,0,13.1392,0,0,0,0,0,158.31,14.0738,73.6449,100.9,0,5.64981,0,278.587,1.73213,0.214288,0,0.101806,0.303207,0
7358_2,72.6779,145.155,0.182748,0,3.92594,0.762625,0,0,0.157228,0,255.891,0,0,10.713,17.2557,0,0,0,399.461,7.96332,21.2743,25.5768,0,7.67556,294.6,0,0,202.815,0,5.3338,109.125,27.1835,78.8771,0,98.7391,17.7401,8.27636,0,0,0,44.0388,0,50.2159,0,0,1.513,0,3.47062,86.4088,0,33.1258,0,0,56.0077,0,0,0,0,40.4679,1.67051,0,0,0,2.37286,0,0,0,2.59945,3.94589,24.4995,4.97835,0,0,1.12924,0,0,1.11942,2.34518,1.97602,1.51231,0,13.1357,0,0,72.8269,20.1526,0,90.981,0,0,67.8355,0,0.969395,0,118.645,62.8143,82.6995,0,5.36628,0,0,1476.79,0,0,0,245
10553_2,6.45211,0,16.9798,0,0,0,0,0,20.3445,0,0,34.8385,0,0,0,0,0,0,0,0,66.1914,10.7388,0,64.9842,1.63696,395.32,0,54.4194,0,1.10966,1.18693,0,50.0017,0,0.524876,1.45953,0,192.795,0,176.157,78.271,156,20.5675,17.1986,0,0,656.401,0,3.87949,0,119.529,0,0,153.817,0,187.682,247.152,0,389.531,111.411,0,10.0847,0,0,34.4395,1.84205,0,0,0,8.36895,0,0,369.545,0,0,161.657,0,229.438,0,159.139,0,0,4.07068,0,10.575,0,0,101.961,0,0,6.89035,0,4.44593,0,0,1.61974,212.916,131.314,0,0,0,0,9.9747,0,0,517.419
6309_2,0,0,0,0,0,0,0,0,236.394,0,0,0,0,95.6569,0,123.004,0,0,0,0,641.992,0,0,0,0,0,0,0,0,0,3.14347,0,0,0,0,0,0,0,0,0,0,0,6.36144,0,0,0,0,0,5.77209,0,0.983902,0,0,89.7224,0,0,0,15.0494,0,0,0,0,0,0,0,161.822,0,0,0,0,0,0,0.46454,0,0,0,0,46.7989,12.5567,0,0,0,7.4099,0,0,0,0,85.6106,0,0,53.9583,0,13.1984,0,0,0,3.00424,60.9331,22.4116,0,0,0,0,0,0,431.507
27087_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51111_2,0,0,1.90834,3.31862,0.598869,18.2543,202.747,5.87591,0.68358,83.9675,0,0,0,8.17693,0,0,4.51387,0,0,0,5.31646,14.1307,82.9987,0,0,0,0,0,0,3.27669,0.230875,0,0,8.14174,3.05527,0.498314,0,0.328089,0,0,0,0,14.4849,5.1737,140.697,48.4801,1.74546,0,4.77675,49.2106,87.167,0,0,0,0,147.353,33.2784,0,0,0,0,0,1.1858,1.68422,59.4037,0,0,0,0,3.81079,0,4.56079,57.106,0,0,4.27931,2.38545,0,0,6.1069,6.45532,10.3417,113.002,0,3.85248,102.287,0,0,460.717,0,0,0,0,1.02471,0,20.7063,0,0,0,0,0,0,0,0,0,0
6484_2,0,0,0,0,0,0,0,0,2.04845,0,7.51294,0,0,0,0,0,1.05612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9156,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1374_2,16.8385,6.84399,0,3.77184,19.1973,79.0308,0.471521,33.7694,0,0.254707,0.511429,4.89813,4.96637,5.70594,0.22573,13.8543,24.8164,5.30274,4.67587,0.206656,0,0.305294,0.437861,0.140772,25.9694,50.5758,0,0,4.0558,0,0,1.94063,124.545,0,3.61504,2.19702,9.31144,2.07835,0,20.8018,35.3406,25.1102,74.0407,5.50092,4.25486,45.256,10.7713,65.1421,29.8473,40.8734,5.09908,1.04275,0,21.5574,18.7842,0,2.86989,2.57668,0.565754,1.7391,0.6286,0,0,27.2789,0,4.42647,0,51.6161,0,0,95.0999,5.01905,4.40494,9.35003,5.0776,4.90372,1.16373,13.4175,2.32575,0,1.3893,0,0.167986,0,8.01138,45.7354,0,1.3285,0.184835,2.39167,11.0564,0,1.70911,6.83188,0.705554,1.07228,2.91635,2.34475,1.07884,8.16249,0,3.75573,4.25973,0,1.52951,46.2037
