Gene_Numeration,RHC3546__Tcell___C6E879,RHC4045__MastCell___E596C5,RHC4053__Tcell___C6E879,RHC4747__Tcell___C6E879,RHC4771__Tcell___C6E879,RHC4776__Tcell___C6E879,RHC4804__Tcell___C6E879,RHL2752__Tcell___C6E879,RHC5620__Tcell___C6E879,RHC5646__Tcell___C6E879,RHC5699__Tcell___C6E879,RHC5702__Tcell___C6E879,RHC5827__Tcell___C6E879,RHC5910__Tcell___C6E879,RHC5982__Tcell___C6E879,RHC5995__Tcell___C6E879,RHC6004__Tcell___C6E879
8908_4,0,0,0,26.7763,0,0,0,1.93193,0,0,0,0,0,0.643884,0,0,0
6646_4,0.439877,0,0,2.67207,0,0,0,0,13.5184,0,32.2216,0,24.6289,0,0,0,0
493_4,3.33212,0,1.17063,121.901,0,21.419,0,55.7736,0,7.18444,1.54854,39.1602,162.398,9.64281,61.118,0,564.806
1608_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6916_4,0,0,0,0,0,0,0,79.4565,0,0,0,0,0,0,0,0,0
5832_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.726,0,0
6515_4,456.321,324.448,246.987,618.834,3392.29,11.7927,252.134,0,0,33.3679,0,0,1242.89,547.068,0,0,197.438
55650_4,0,2.37868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51660_4,88.0255,0,334.676,0,0,394.004,0,452.702,0,0,0,120.174,3609.19,0,0,0,0
30_4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76456,0,0,0
586_4,0,1188.19,0,0,0,0,0,0,0,0,0,0,0,25.8379,0,3.17404,0
2983_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84649_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431_4,38.7861,45.5039,0.725547,400.29,0,0,264.962,0,146.13,0,0,142.718,0,0.473799,0,0,26.4847
56848_4,0,0,0,0,0,0,0,0,0.426005,0,0,0,0,0,0,0,0
8776_4,1.98588,0,0,0,0,0,0,0,0,0,0,0,0,0,136.886,0,0
3029_4,0,0,0,0,0,0,0,0,0,0,0,0,2.41624,0,0,0,0
10402_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5476_4,0,0,0,0,0,0,0,1036.2,0,0,0,0.943583,0,0,0,0,0
6558_4,27.9462,0.0350516,6.49918,0,0,0,0,0,0,0,0,0,59.4985,0.129262,0,202.215,0
4942_4,0,0,0,0,0,0,0,0,0,0,0,625.231,0.963222,7.47121,0,0,0
1606_4,0,0,0,0,182.321,0,0,0,0,0,0,0,5.72667,0,0,0,4.7629
4710_4,266.296,1901.04,227.01,0,0,0,0,43.9587,18.1401,0,703.257,99.4969,0,0,0,703.212,1100.18
4199_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10797_4,0,0,0,3.95661,51.4121,0,486.04,0,0,0,0,0,0,25.4294,0,0,33.7027
84679_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5141_4,0,0,0,23.1436,0,0,0,0,0,0,0,0,0,0,0,0.35947,0
6550_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64834_4,0,0,0,789.936,0,0,0,0,0,0,0,0,0,0,0,0,0
348158_4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.078,0,0,0
2235_4,0,1111.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5214_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914136,600.948,0
3422_4,437.959,0,1958.99,200.079,153.018,0.46118,0,0,0,0,0,63.8389,700.511,0,0,0,0
8611_4,0,0,0,30.9935,29.4472,0,0,0,0,0,0,0,0,0,0,0,0
5315_4,0,0.699424,0,613.742,11.0881,0,0,0,2.31502,0,0,0,4.30738,3.70375,0.637096,227.089,148.88
3421_4,34.1671,0,0,0,0,0,0,0,0,0,0,0.867022,0,0,0,0,0
492_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80347_4,0,0,0,0,0,120.462,0,0,0,0,0,0,0,0,0,0,14.0354
2182_4,0,894.864,1.67742,5.10491,0,0.169586,0,16.9472,0,0,0,0,0,0,0,0,0
3632_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23250_4,0,0.0635092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51447_4,395.634,0,0,54.4981,0,0,256.506,0,0,1643.93,0,1.11136,0,0,0,0,0
5837_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10060_4,0.612761,0.47227,0.0666407,0.150795,0,0.357909,0.154707,0,0,0.482254,0.196029,0.105382,0.21881,0.432935,0.70651,0,0.70382
4129_4,0,108.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8399_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483_4,264.954,0,833.918,26.7614,0,130.707,0,0,0,0,0,18.7596,0,0,0,0,0
9488_4,0,0,0,0,0,0.987481,0,0,23.4017,0,0,11.1564,0,0,0,273.957,0
2984_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55808_4,0,0,0,0,0,260.321,0,0,0,0,0,0,0,0,0,0,0
57704_4,0,0,0,0,0,0,0,0,28.529,0,0,0,0,0,0,0,0
3340_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440_4,0,0,0,0,0,0,0,0,3.76705,0,0,0,0,0,0,0,0
10610_4,0,0,0,0.289121,0,0,0,0.938272,0,0,0,0,0,0,0,0,0
1103_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6559_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490_4,0,0,0,0,2.46004,0,0,0,0,6.71736,0,0,0,0,7.44809,1488.6,0.117019
79901_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418897,0,0
51109_4,0,0,0,0,140.303,0,3.07464,0,388.241,3.03587,0,0,0,0,233.184,0,43.4491
224_4,0,0,0,0,733.107,0,0,0,0,0,6.11231,0,0,186.793,2309.27,0,0
3028_4,0,0,1292.93,0,0,0,0,14.5292,0,0,0,0,0,0,0,0,0
8974_4,12.2241,0,0,0,0,0,0,0,0,0,0,0,0.559243,0.864209,0,0,0
37_4,0,0,0,0,0,0,0,17.0364,0,0,0,0,0,0,0,0,0
949_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1446,0,0
5151_4,0,0,0,0,0,0,0,2.13461,0,0,0,0,0,0,0,0,0
6389_4,109.265,0,0,0,0,0,0,0,0,0,0,1164.39,0,0,0,0,0
8647_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10170_4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58233,0,0,0
5743_4,0,916.569,0,0,3.4121,0,0,0,0,0,0,0,0,0,0,0,0
4905_4,0,0,0,0,0,0,0,0,0,460.096,0,0,0,0,0,0,378.82
771_4,0.614214,0,0,0,0,0,0,0,0,0,0,0.0687631,0,0,0,0,0
11343_4,0,0,0.24542,2242.74,0,0,0,0,0,0,0,0,0,5.55363,0.270718,0,0
9187_4,0,0.58619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51495_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_4,16.1725,83.8756,719.679,21301.8,278.916,1395.48,438.004,171.839,0,2415.74,0,2.4875,3068.14,0,0,3246.25,1.37451
6557_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38_4,16.4739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615.951,0
5337_4,0,0,0,0,0.471595,0,0,104.555,0,0,0,0.0845585,0,0,0,0,0
113235_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32_4,0,0,0,0,0,0,9.66589,0,0,0,0,0,0,0,0,0,0
22978_4,0.298351,0,0,0,0,0,0,0,623.512,0,0,0,0,0,0,0,0
8527_4,25.9603,0,0,0,0,0,60.089,0,0,78.5618,0,0,0,0,0,0,0
7299_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56922_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55331_4,0,0,0.0373015,0,0,0,0,0,0,0.136006,0,0.535089,0.097786,0,0,0,0
5289_4,95.1832,0,0,0,0,0,0,0,0,828.235,0,0,3723.66,0,0,0,3.63088
8871_4,0,0,0,3.31527,0,0,0,0,0,0.200045,0,0,0,0,0,30.8497,0
108_4,0,0,0,0,0,0,0,0,0,0,0,0,0.0463941,0,0.0865109,0,0
6507_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3991_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2222_4,354.46,0,0,17.9572,117.337,0,1486.82,0,29.0876,0,0,173.297,3077.84,0,0,0,0.63297
5050_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5236_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26002_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8671_4,0.758881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50700_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5997,0,0
384_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65985_4,0,0.245841,0,0,76.426,0,0,0,11.7779,0,0,0,0,0,0,0,0
6561_4,0,0,0.137993,0,0,0.254678,1.90991,0,0,0,0,0,0,0,0,2.12773,0
5205_4,1.11654,0,0,0.286502,0,0,0,0,0.236846,0,0,0,0,0,0,0,0
4200_4,0,0,0,0,544.149,0,5.12658,0,0,0,0,0,0,0,0,0,0.330892
594_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5019_4,0,0,0,0,1791.98,0,0,0,0,0,0,0,0,0,1141.25,0,23.2726
10998_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3034_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6579_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030_4,0,0,0,0,0,0.650518,0,0,0,5.8931,1903.32,0,0,0,0,0,0
790_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5243_4,4.20482,128.584,0,14.9595,0,0,102.528,0,0,0,0.11947,19.432,0,3065.81,0,0,0
231_4,1.77751,1.39794,3.51301,23.1591,0,0,1199.4,0,0.692788,0,0,0,1.77591,0,6.818,0,0
4258_4,23.9233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55624_4,87.99,3.61162,3.32607,1.03238,8.04121,0,0.568673,1.89343,1.58868,6.09035,0.39486,4.14817,1.04627,1.06986,4.09929,0.522437,1.66482
2683_4,29.2768,144.343,201.232,0,238.647,21.3121,303.769,63.9788,383.132,125.405,1168.95,458.63,301.123,0,91.0169,0,0
80271_4,0,0,0.321114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3294_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8310_4,0,0,0,0,0,0,0,0,0,10.3445,0,0,0,0,0,0,0
8898_4,0.569211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51171_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512_4,2961.67,20177.5,4.05526,6726.44,23862.1,6212.34,1253.22,1080.96,592.917,332.017,365.117,1000.2,4139.76,20.6198,172.467,3537.07,851.037
94005_4,0,0,0,201.533,0,0,0,0,23.8674,0,0,98.6811,0,0,0,0,0
9489_4,0,0,0,0,7.38231,0,0,0,0,0,0,0,0,0,0,0,0
6820_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6564_4,0.439504,0,0,0,0,0,0,0,0,0,0,0,0.444718,0,0,0,0
54675_4,2.76814,0,0,0,0,0,0,0,41.4255,0,0,0,0,0,0,0,0
9962_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140401
4842_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9843_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645_4,751.826,0,0,0,0,0,0,0,0,0,0,697.108,0,0,0,0,0
6548_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.494,0,0
10558_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4708_4,84.7502,0,1354.43,15.3454,0,0,68.3296,1841.27,1004.41,41.8067,267.036,309.858,0,0,0,0,0
6476_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79603_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55066_4,0,0,0,0,0,0.872297,0,0,0,0,0,0,0,0,0,0,3.20356
5172_4,0,0,0,0,0,0,0,0,0,0,0,0,0.0808072,0,0,0,0.164614
1811_4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28723,0,0,0
1738_4,0,0,0,0,175.956,0,0,0,2.06621,0,0,1.9238,0,0,0,0,435.959
2271_4,0,0,0,0,0,1.86336,0,0,0,0,0,0,1.13011,0,32.4039,0,0.571204
57084_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23428_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26227_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1808_4,0,940.771,0,1.21683,68.7765,0,658.142,51.7526,0,0,0,29.3549,494.148,0,0,0,0
1312_4,0,0,0,0,0,0,0,4.59147,0,0,0,0,0,0,0,0,0
55350_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9942_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139596_4,0,0,0,8.09969,0,0,0,0,0,0,0,164.479,0,0,0,0,0
5742_4,0,0.615531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0539
54187_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3252
5146_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23430_4,0,30.8983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11332_4,0,0,0,0,0,0,0,0,0,0,0,4.75388,18.1055,0,0,0,0
6319_4,0,0,0,8.76747,81.718,0,0,0,0,0,0,3.81337,0,0,0,0,0
158160_4,0,0,0,0,2.90607,0,0,0,0,1810.96,0,0,0,4.27756,0,0,0
80270_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9739_4,9.33455,0,0,0,0,0,0,0,0,259.824,0,0,0,0,0,309.378,0
513_4,3.10921,0,0,0,0,3.20466,0,0,0,1.43643,0,66.934,0,0,3.45012,109.765,125.969
4713_4,73.1427,1214.43,0,0,0,0,0,0,338.044,0,0,0,0,0,0,0,622.592
9524_4,0,0,0,0,0,0,6.32616,0,0,0,187.726,53.2106,0,0,0,0,0
4507_4,0,0,0,0.720727,0,0,0,0,0,27.1405,0,0,0,0,0,0,0
2687_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51733_4,108.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2678_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.787
5625_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6576_4,0,0,0,0,0,0,0,0,0,0,0,0.335159,0,0,0,0,0
50487_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23464_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91227_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23539_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6523_4,0,0,0,0,0,0,0,0,0,1.20775,0.218317,0,0,0,0,0,0
1727_4,18.0019,3.57258,8.90416,1.50261,9.44849,2.50279,3.42001,0,0.670093,4.69866,1.17714,0.475461,1.80336,25.0486,1.66922,0.745386,5.63167
55586_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120_4,0,1581.9,0,0,0,0,0,0,0,0,0,0,499.72,0,0,0,46.239
3162_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410_4,0,0,0,1.52956,0,0,0,0,0,0,0,0,0,0,0,0,80.7326
8897_4,0,0,0,0,0,0,0,0,0,0,0,1.98374,0,0,912.193,0,0
80339_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10478_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50_4,0,0,0,0,0,0,0,18.1496,0,0,0,12.4181,0,0,0,0,31.5056
5372_4,0,0,0,0,0,0,0,0,0,0,0,2.02125,0,0,0,0,0
64781_4,0,0,0,0,0,2.29972,0,0,1.97559,7.66428,0,246.513,0,0,0,3.30136,0
5836_4,0,0,0,0,0,0,0,2.04815,0,0,0,0,0,0,0,0,0
64841_4,0.253463,0,0,0,0,0,0,2.51602,0,0,0,0,0.0909662,0,0,0,0.185667
51382_4,0,0,0,0,0,0,633.364,0,0,0,28.3102,0,0,1.22239,0,0,0
5283_4,0,0,0,0,0,0,0,8.42437,0,0,83.4552,0,0,0,0,0,0
2954_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9517_4,0,0,0,0,0,0,0,0,0,0,0,0,0.0510545,0,10.3844,0,0
3705_4,0,0,0,41.5792,0,0,24.4476,0,0,0,0,0,0,0,0,0,7.54567
6554_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6547_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4522_4,0,397.852,0,0,0,0,0,2.76808,0,0,6.78715,0,157.586,153.624,2212.14,0,22.608
10202_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5106_4,25.7291,0,0,0,0,0,0,0,0,22.9928,0,0,0,1.44694,0,6.42782,69.7089
51292_4,0,0,0,0,0,0,1264.02,0,0,0,0,0,0,0,0,0,0
2937_4,0,0,0,17.6072,0,0,0,0,0,0,0,0,0,0,0,0,0
5834_4,0,0,0,0.531278,0,0,0,26.0281,0,0,0,0,0,0,9.12029,0,0
28231_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113278_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
