Gene_Numeration,RHC3546__Tcell___C6E879,RHC4045__MastCell___E596C5,RHC4053__Tcell___C6E879,RHC4747__Tcell___C6E879,RHC4771__Tcell___C6E879,RHC4776__Tcell___C6E879,RHC4804__Tcell___C6E879,RHL2752__Tcell___C6E879,RHC5620__Tcell___C6E879,RHC5646__Tcell___C6E879,RHC5699__Tcell___C6E879,RHC5702__Tcell___C6E879,RHC5827__Tcell___C6E879,RHC5910__Tcell___C6E879,RHC5982__Tcell___C6E879,RHC5995__Tcell___C6E879,RHC6004__Tcell___C6E879
2519_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2729_4,0,0,4.59029,0,0,0,0,0,0,0,0.278243,0.48089,0,0,0,0,0
1080_4,2.30374,0,0,0,0,0,0,0,0,0,0,12.9388,0,0.698524,0,0,0
1595_4,0,0,0,0,198.57,0,85.9695,0,0,12.0802,0,0,0.522148,0,0,0,0
51056_4,0,0,0.289302,25.4752,13.0363,0,0,0,0,0,0,365.987,0,0,32.8675,0,945.122
9957_4,0,0,0,0,0,0,0,0,0,0,0,0,1.33824,0,0,0,0
26_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9108_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6542_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204_4,0,0,0,79.8307,0,0,0,0,38.2772,0,847.445,0,0,0,0,0,0
952_4,143.508,0,0,108.412,0,0,564.689,0,0,0,0,0,0,0,0,0,47.046
4706_4,373.958,0,0,0,595.1,0,0,0,57.7425,0,0,0,0,0,0,0,0
10165_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6521_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292_4,967.937,267.811,0,2681.45,0,0,0,44.2083,0,555.04,1806.76,955.471,15.0691,1.53549,0,1631.35,185.919
6296_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4353_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54677_4,0,5.74393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14007
5244_4,0,0,0,0,0,0,0,0,0,0,0,0,0,111.692,0,0,0
55904_4,91.4443,0.738997,63.227,213.046,0,120.756,154.973,471.588,42.07,1309.43,176.363,1618.77,95.6475,975.187,0.125826,240.55,31.5502
6833_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55750_4,0,0.402414,0,0.814524,17.3137,0,0,0,0,0,0,0,0,0,0,0,0
221_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79017_4,361.025,0,0,0,0,0,0,1713.55,0,0,0,0,29.6161,0,156.538,0,0
8228_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151531_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5048_4,0,485.23,1199.74,0,0,0,0,169.225,0,0,0,0,0,0,49.2463,0,0
4843_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9058_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8277_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9091_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89471,0,0
65220_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10157_4,0.47747,0,0,0,0,0,0,0,0,0.463372,0.251749,0,0.170588,2.62473,0,0,0
6482_4,33.9661,0,0,0,7.98338,0,27.7159,0,0,0,0,40.0678,0.100806,0,0,0,394.569
7384_4,37.8665,0,0,79.1203,0,0,0,0,0,3210.84,0,0,0,0,0,0,119.104
6540_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3423_4,7.93777,0,0,22.4794,0,70.7574,2.54871,10.1571,0,0,0,197.949,63.1808,155.621,24.8265,0,130.311
6534_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51099_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5286_4,0.262274,0.64941,0,0,766.694,0,0,0,0,0,0,0,0,0,0,0,0
2137_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60481_4,153.209,0,0,4.25672,0,0,0,0,0,0,0,0,0,0,142.403,0.697631,590.152
240_4,0.793148,2424.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5238_4,0.972873,0,0,0.212519,0,16.8664,0,0,0,0,0,0,0,0,0,0,0
112611_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4190_4,525.113,0,0,0,0,0,197.671,0,131.221,85.314,1660.09,51.8213,0,0,0,0,20.3431
1800_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29881_4,0.418717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64132_4,109.814,85.4659,0,0,0,0,0,0,0,0,554.737,0,0,0,0,0,0
55349_4,0.162146,0,0,0,0,0,0,0,0,0,0,1.37168,0,0,0,0,0
55830_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92745_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10928_4,0,0,0,24.9755,0,0,3.42084,75.0624,0,0,0,0,0,0.413021,0,0.823207,0
6556_4,0,0,0,0,0,2.20238,0,0,0,0,0,0,0,0,0,0,0
477_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64816_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11136_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4719_4,0,0,0,0,0,0,0,28.4915,5.31021,0,0,44.2987,0,0,0.740239,0,0
211_4,0,0,0,0,0,0,0,26.6425,0,0,0,0,0,0,89.1079,0,0
51022_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51071_4,0,0,0,0,0,1915.71,0,0,0,0,0,0,0,0,0,0,2.60475
1244_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2730_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68419,0
8630_4,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4806,0,0,15.4122
1890_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.073
56895_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11285_4,75.1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54480_4,0,0,0,0,0,0,0,0,0,0,0,0.172321,0,0,0,17.0808,0
535_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9497_4,0,0,0,0,0,1.18557,231.351,0,20.5697,0,64.0412,297.677,0,0,0,4.47103,0
159_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10067,0,0
5009_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10858_4,0.178164,0,0,0,0,0,0,0,0,0,0.247868,0,0,0,0,0,0
6570_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175_4,97.4401,0,0.566215,0,0,0,213.81,0,0,0,0,0,0,0,0,0,3.10631
27430_4,0,0,332.362,0,0,94.1694,0,0,261.466,0,0,0.996118,0,0,0,0,3.87574
3631_4,0.738171,18.7912,0,10.9758,0,0,116.309,0,0,0,0,0,0.267888,0,0,0,66.8527
56474_4,0,0,0,0,0,0,0,31.116,0,0,0,0,0,0,0,0,0
51606_4,0,0,0,0,2385.78,0,0,63.7548,57.582,0,0,0,0,0,0,0,0
1356_4,203.223,257.547,0,0,0,0,0,4.95647,0,807.262,0,0,1.42317,3.10371,0,0,0
50484_4,0,0,0,0,0,0,0,0,0,0,0,0.0905316,0,0,0,0,0
9563_4,0,0,0,21.2358,0,1.31839,0,1.14351,0,3.70681,0,0,0,0.265108,0,0,0
3074_4,0,0,0,0,0,0,0,0,0,57.727,0,1.1931,0,0,0,0,0
9498_4,0,803.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5291_4,0,0,0,0,0,0,0,0,0,0,69.0154,0.145032,0,0,0,0,0
6307_4,0,0,0,0.701216,0,0,0,0,0,0,0.339889,5.23095,0,0.491594,218.981,638.103,0
8574_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29085_4,52.6035,1833.41,1040.6,17.8058,0,0,0,24.7076,0,22.2233,0,0,0,5.54321,0,0,1199.42
954_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2581_4,0,0,0,0,51.0376,0,0,13.1032,7.29758,0,0,0,9.72799,0,0,0,117.795
58508_4,17.5595,214.475,0.148872,47.7011,0.266911,0.121978,5.94297,13.9695,237.224,0,0.041713,14.2261,11.8277,0,0.0734601,25.1263,34.2765
